Name, HP, AT, SP, Ability, Card Portrait, Monster Image, Idle Animation Name, Idle Animation Speed (Duration) (Ids for cards are the number of column in the list - 2)
Goblin, 1, 3, 6, AbilNone, GoblinPortrait, GoblinMonster, anim_IdleAnimationBreath, 250
Golem, 6, 2, 0, AbilNone, GolemPortrait, GolemMonster, anim_IdleAnimationJump, 730
Banshee, 1, 2, 2, AbilScreech, BansheePortrait, BansheeMonster, anim_IdleAnimationFloat, 1700
Vampire, 1, 4, 3, AbilLeech, VampirePortrait, VampireMonster, anim_IdleAnimationBreath, 1700
Battering Ram, 1, 2, 5, AbilRam, BatteringRamPortrait, BatteringRamMonster
Will O Wisp, 1, 0, 6, AbilEmpower, WillOWispPortrait, WillOWispMonster, anim_IdleAnimationFloat, 1100
Bonemerang, 2, 1, 4, AbilDouble, BonemerangPortrait, BonemerangMonster, anim_IdleAnimationJump, 380
Kappa, 2, 1, 5, AbilSteal, KappaPortrait, KappaMonster, anim_IdleAnimationBreath, 600
Mummy Lord, 3, 4, 1, AbilWither, MummylordPortrait, MummylordMonster, anim_IdleAnimationBreath, 1500
Werewolf, 4, 2, 3, AbilLonesome, WerewolfPortrait, WerewolfMonster, anim_IdleAnimationBreath, 2000
Glorobo, 5, 1, 2, AbilInflate, GlorboPortrait, GlorboMonster, anim_IdleAnimationFloat, 2200
Spellbound Ooze, 4, 1, 3, AbilPotion, SpellboundOozePortrait, SpellboundOozeMonster, anim_IdleAnimationBreath, 800
Kelprie, 1, 3, 3, AbilDrown, KelpriePortrait, KelprieMonster, anim_IdleAnimationFloat, 1900
Witch, 2, 1, 3, AbilPoison, WitchPortrait, WitchMonster, anim_IdleAnimationBreath, 1400
Cockatrice, 3, 2, 1, AbilDevour, CockatricePortrait, CockatriceMonster, anim_IdleAnimationJump, 480
Cyclops, 5, 0, 1, AbilRage, CyclopsPortrait, CyclopsMonster, anim_IdleAnimationBreath, 2200
Insulting Mirror, 3, 0, 4, AbilMirror, InsultingMirrorPortrait, InsultingMirrorMonster, anim_IdleAnimationJump, 600
Soul Lantern, 2, 2, 3, AbilChain, SoulLanternPortrait, SoulLanternMonster, anim_IdleAnimationBreath, 150
Pixie Sprite, 1, 1, 6, AbilRestore, PixieSpritePortrait, PixieSpriteMonster, anim_IdleAnimationFloat, 900
Body Latcher, 2, 1, 5, AbilInfest, BodyLatcherPortrait, BodyLatcherMonster, anim_IdleAnimationBreath, 1000
Warlock, 3, 1, 2, AbilMeteor, WarlockPortrait, WarlockMonster, anim_IdleAnimationBreath, 700
Earthworm, 3, 5, 5, AbilEater, EarthwormPortrait, EarthwormMonster, anim_IdleAnimationBreath, 1850
Zombie, 2, 1, 2, AbilZombify, ZombiePortrait, ZombieMonster, anim_IdleAnimationBreath, 3200
Gargoyle, 4, 4, 3, AbilStone, GargoylePortrait, GargoyleMonster, anim_IdleAnimationBreath, 2300
Invertigo, 3, 0, 0, AbilInvert, InvertigoPortrait, InvertigoMonster, anim_IdleAnimationFloat, 1750
Emnity Totem, 2, 0, 0, AbilSummon, EmnityTotemPortrait, EmnityTotemMonster
The Gnome, 2, 2, 4, AbilGnome, TheGnomePortrait, TheGnomeMonster, anim_IdleAnimationJump, 250
Hellhound, 3, 2, 4, AbilUnleash, HellhoundPortrait, HellhoundMonster, anim_IdleAnimationBreath, 2200
Leprechaun, 3, 1, 4, AbilCauldron, LeprechaunPortrait, LeprechaunMonster, anim_IdleAnimationBreath, 1800
Fin-Inito, 1, 1, 1, AbilFish, FinInitoPortrait, FinInitoMonster, anim_RotateSlot, 6500
Yukki-Onna, 1, 4, 2, AbilSnowstorm, YukkiOnnaPortrait, YukkiOnnaMonster, anim_IdleAnimationBreath, 1800
Hexahedron, 3, 0, 0, AbilTrickroom, HexahedronPortrait, HexahedronMonster, anim_IdleAnimationFloat, 1500
Land Mine, 3, 1, 2, AbilExplode, LandminePortrait, LandmineMonster, anim_IdleAnimationBreath, 450
Baphomet, 4, 0, 3, AbilReflection, BaphometPortrait, BaphometMonster, anim_IdleAnimationFloat, 1600
